epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.051,2.51315,5.33959,2.37098,0,0,0,0,2.51242,4.50231,2.54529,5.328e-05,5.328e-05,5.328e-05
2,34.6015,2.37101,5.08738,2.34124,0,0,0,0,2.34649,4.53323,2.40632,0.000108062,0.000108062,0.000108062
3,50.9874,2.2636,4.37862,2.25872,0.02018,0.11879,0.03556,0.01141,2.31818,3.85056,2.27651,0.000162112,0.000162112,0.000162112
4,64.742,2.36682,3.75724,2.32802,0.84121,0.05091,0.02896,0.00956,2.37601,3.60963,2.40542,0.000215428,0.000215428,0.000215428
5,75.4539,2.29289,3.58124,2.32662,0.64432,0.04182,0.03353,0.01248,2.30863,3.23332,2.54718,0.000216139,0.000216139,0.000216139
6,85.7692,2.22471,3.49428,2.26459,0.44269,0.06909,0.03977,0.01431,2.2322,2.88564,2.47624,0.000214674,0.000214674,0.000214674
7,96.1675,2.21747,3.37408,2.26944,0.4576,0.04,0.03844,0.01442,2.26509,3.32145,2.44433,0.000213209,0.000213209,0.000213209
8,106.576,2.12912,3.27332,2.14848,0.66359,0.05763,0.05844,0.02186,2.31126,2.83396,2.51868,0.000211744,0.000211744,0.000211744
9,116.776,2.16153,3.18568,2.20631,0.64604,0.06,0.07859,0.02642,2.2775,2.72284,2.45264,0.000210278,0.000210278,0.000210278
10,127.052,2.09639,3.09616,2.1715,0.67313,0.05273,0.06145,0.02418,2.32092,2.70346,2.45318,0.000208813,0.000208813,0.000208813
11,137.203,2.05473,3.16993,2.14789,0.67322,0.06,0.08752,0.0321,2.25252,2.56914,2.36255,0.000207348,0.000207348,0.000207348
12,147.453,2.10533,3.06935,2.16077,0.67859,0.04727,0.08998,0.03744,2.19838,2.69057,2.39084,0.000205883,0.000205883,0.000205883
13,157.84,2.07725,3.05444,2.16095,0.65614,0.05091,0.0964,0.03809,2.18554,2.62884,2.34355,0.000204418,0.000204418,0.000204418
14,168.052,2.06688,3.0193,2.15897,0.6499,0.05018,0.08867,0.04647,2.21634,2.70628,2.47726,0.000202952,0.000202952,0.000202952
15,178.493,2.02794,2.9501,2.05052,0.69469,0.03818,0.07182,0.02787,2.2437,2.66992,2.48253,0.000201487,0.000201487,0.000201487
16,189.364,2.04681,2.91332,2.10508,0.67399,0.05636,0.08894,0.03872,2.17569,2.52347,2.36797,0.000200022,0.000200022,0.000200022
17,199.748,2.02934,2.78015,2.09525,0.459,0.13762,0.07495,0.02663,2.19044,2.41368,2.29684,0.000198557,0.000198557,0.000198557
