epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9429,2.49459,5.09538,2.36988,0,0,0,0,2.37614,4.25888,2.48222,8.568e-05,8.568e-05,8.568e-05
2,21.0176,2.28527,4.89517,2.32097,0,0,0,0,2.19661,4.28344,2.35544,0.000173775,0.000173775,0.000173775
3,30.918,2.18124,4.35641,2.24479,0.01082,0.22098,0.02663,0.00896,2.22278,3.71017,2.3161,0.000260693,0.000260693,0.000260693
4,40.5324,2.23386,3.9635,2.33176,0.61291,0.04648,0.02965,0.00931,2.39471,3.36064,2.42337,0.000346432,0.000346432,0.000346432
5,50.6403,2.20545,3.81021,2.24549,0.3651,0.12034,0.05616,0.01828,2.40364,3.62758,2.41324,0.000347575,0.000347575,0.000347575
6,60.3767,2.20126,3.68919,2.1717,0.49088,0.16022,0.04513,0.01333,2.39054,4.95761,2.61254,0.000345219,0.000345219,0.000345219
7,70.1745,2.18212,3.55869,2.23567,0.47658,0.11661,0.0512,0.01367,2.30343,3.7281,2.54928,0.000342863,0.000342863,0.000342863
8,79.9371,2.09117,3.43183,2.18181,0.39606,0.17228,0.07281,0.02713,2.26489,3.66366,2.4484,0.000340507,0.000340507,0.000340507
9,89.6515,2.12555,3.32506,2.17916,0.31349,0.14277,0.11956,0.04186,2.30467,3.16556,2.44022,0.00033815,0.00033815,0.00033815
10,99.5601,2.06367,3.2277,2.14015,0.23452,0.10937,0.0885,0.02407,2.28711,3.47661,2.52784,0.000335794,0.000335794,0.000335794
11,109.269,2.05858,3.28421,2.18874,0.29185,0.15682,0.11407,0.03329,2.29392,3.10858,2.51841,0.000333438,0.000333438,0.000333438
12,119.082,2.07653,3.19699,2.18809,0.16676,0.16955,0.10986,0.03162,2.26553,2.71131,2.54355,0.000331082,0.000331082,0.000331082
13,128.847,2.06769,3.15526,2.16313,0.29088,0.1378,0.11942,0.03453,2.15248,2.7338,2.49209,0.000328726,0.000328726,0.000328726
14,138.574,2.07938,3.09083,2.1912,0.32209,0.21537,0.12637,0.03737,2.29027,2.63456,2.54199,0.000326369,0.000326369,0.000326369
