epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.82109,2.64877,5.71848,1.91174,0,0,0,0,2.52508,5.21669,1.27478,0,0,0
2,11.1697,2.53702,5.70067,1.69736,0,0,0,0,2.48692,5.2199,1.25726,2.83169e-06,2.83169e-06,2.83169e-06
3,13.6821,2.50688,5.864,1.90483,0,0,0,0,2.45315,5.22135,1.25258,5.60674e-06,5.60674e-06,5.60674e-06
4,15.9028,2.58706,5.59747,1.95337,0,0,0,0,2.50425,5.20797,1.26487,8.32517e-06,8.32517e-06,8.32517e-06
5,18.3141,2.41426,5.70887,1.75803,0,0,0,0,2.60793,5.17268,1.28579,1.0987e-05,1.0987e-05,1.0987e-05
6,20.6373,2.61863,5.57961,1.93304,0,0,0,0,2.61868,5.16109,1.27363,1.35921e-05,1.35921e-05,1.35921e-05
7,22.8962,2.53987,5.67935,1.86908,0,0,0,0,2.58806,5.16399,1.25454,1.61407e-05,1.61407e-05,1.61407e-05
8,25.2214,2.55855,5.70013,1.8465,0,0,0,0,2.55722,5.16449,1.23679,1.86326e-05,1.86326e-05,1.86326e-05
9,27.4281,2.51729,5.67167,1.6985,0,0,0,0,2.52675,5.16209,1.22621,2.10679e-05,2.10679e-05,2.10679e-05
10,29.7702,2.52315,5.49019,1.80829,0,0,0,0,2.51033,5.16026,1.22416,2.34466e-05,2.34466e-05,2.34466e-05
11,31.9784,2.43226,5.58931,1.7155,0,0,0,0,2.49739,5.16014,1.22638,2.57686e-05,2.57686e-05,2.57686e-05
12,34.5926,2.25307,5.51305,1.54836,0,0,0,0,2.49013,5.1558,1.22756,2.8034e-05,2.8034e-05,2.8034e-05
13,40.1113,2.17502,5.5214,1.52016,0,0,0,0,2.48968,5.1524,1.23324,3.02428e-05,3.02428e-05,3.02428e-05
14,42.4729,2.33893,5.55589,1.68448,0,0,0,0,2.53122,5.14246,1.25021,3.23949e-05,3.23949e-05,3.23949e-05
15,44.747,2.22054,5.49608,1.49756,0,0,0,0,2.53363,5.13511,1.25589,3.44905e-05,3.44905e-05,3.44905e-05
16,47.129,2.25379,5.3653,1.518,0,0,0,0,2.5003,5.11878,1.22609,3.65294e-05,3.65294e-05,3.65294e-05
17,49.3676,2.17724,5.42817,1.57886,0,0,0,0,2.4757,5.10811,1.21086,3.85116e-05,3.85116e-05,3.85116e-05
18,51.4569,2.08727,5.2659,1.50613,0,0,0,0,2.4757,5.10811,1.21086,4.04373e-05,4.04373e-05,4.04373e-05
19,53.7986,2.06812,5.30475,1.50674,0,0,0,0,2.43537,5.0954,1.19293,4.23063e-05,4.23063e-05,4.23063e-05
20,56.0968,2.08283,5.16984,1.53973,0,0,0,0,2.43537,5.0954,1.19293,4.41186e-05,4.41186e-05,4.41186e-05
21,58.3,1.97821,5.10608,1.44405,0,0,0,0,2.40141,5.08183,1.182,4.58744e-05,4.58744e-05,4.58744e-05
22,60.5188,2.214,5.23279,1.48534,0,0,0,0,2.40141,5.08183,1.182,4.75735e-05,4.75735e-05,4.75735e-05
23,63.0214,2.00778,5.13743,1.50306,0,0,0,0,2.38182,5.06908,1.17984,4.9216e-05,4.9216e-05,4.9216e-05
24,65.2834,1.75057,5.08317,1.39077,0,0,0,0,2.38182,5.06908,1.17984,5.08019e-05,5.08019e-05,5.08019e-05
25,67.6158,1.90847,5.04439,1.44162,0,0,0,0,2.37518,5.02653,1.15817,5.23311e-05,5.23311e-05,5.23311e-05
26,69.7309,1.88037,5.01244,1.34189,0,0,0,0,2.37518,5.02653,1.15817,5.38037e-05,5.38037e-05,5.38037e-05
27,72.3072,2.11264,5.1063,1.44038,0,0,0,0,2.30062,5.00074,1.14239,5.52197e-05,5.52197e-05,5.52197e-05
28,74.5486,1.8949,5.00805,1.28594,0,0,0,0,2.30062,5.00074,1.14239,5.65791e-05,5.65791e-05,5.65791e-05
29,76.8662,1.79306,4.90938,1.24903,0,0,0,0,2.24131,4.97941,1.14256,5.78818e-05,5.78818e-05,5.78818e-05
30,79.1216,2.07108,5.06573,1.36539,0,0,0,0,2.24131,4.97941,1.14256,5.91279e-05,5.91279e-05,5.91279e-05
31,81.269,1.97339,4.89026,1.35579,0,0,0,0,2.19473,4.97446,1.14772,6.03174e-05,6.03174e-05,6.03174e-05
32,83.5523,1.8725,4.67875,1.28615,0,0,0,0,2.19473,4.97446,1.14772,6.14502e-05,6.14502e-05,6.14502e-05
33,85.9986,2.13993,4.85141,1.47153,0,0,0,0,2.13402,4.95217,1.14747,6.25265e-05,6.25265e-05,6.25265e-05
34,88.226,1.92169,4.78697,1.19005,0,0,0,0,2.13402,4.95217,1.14747,6.35461e-05,6.35461e-05,6.35461e-05
35,90.6153,1.87219,4.62521,1.2469,0,0,0,0,1.99185,4.9016,1.08676,6.4509e-05,6.4509e-05,6.4509e-05
36,92.9097,1.84381,4.68593,1.25237,0,0,0,0,1.99185,4.9016,1.08676,6.54154e-05,6.54154e-05,6.54154e-05
37,95.8079,1.87354,4.68652,1.24527,0,0,0,0,1.78694,4.83514,0.99816,6.62651e-05,6.62651e-05,6.62651e-05
38,99.6514,1.88587,4.55305,1.32577,0,0,0,0,1.78694,4.83514,0.99816,6.70581e-05,6.70581e-05,6.70581e-05
39,102.209,1.95905,4.63386,1.28467,0,0,0,0,1.83173,4.80622,1.04634,6.77946e-05,6.77946e-05,6.77946e-05
40,104.789,1.94937,4.4283,1.28263,0,0,0,0,1.83173,4.80622,1.04634,6.84744e-05,6.84744e-05,6.84744e-05
41,107.26,1.89986,4.42217,1.26984,0,0,0,0,1.76538,4.76233,1.03342,6.90976e-05,6.90976e-05,6.90976e-05
42,109.605,1.86173,4.18243,1.37029,0,0,0,0,1.76538,4.76233,1.03342,6.96642e-05,6.96642e-05,6.96642e-05
43,112.076,1.80798,4.26959,1.18202,0,0,0,0,1.68294,4.69816,1.00661,7.01741e-05,7.01741e-05,7.01741e-05
44,114.481,1.75213,4.00128,1.16734,0,0,0,0,1.68294,4.69816,1.00661,7.06274e-05,7.06274e-05,7.06274e-05
45,116.969,1.98659,4.23454,1.34252,0,0,0,0,1.63331,4.62837,0.98623,7.10241e-05,7.10241e-05,7.10241e-05
46,119.233,1.69098,3.85729,1.22594,0,0,0,0,1.63331,4.62837,0.98623,7.13642e-05,7.13642e-05,7.13642e-05
47,121.656,1.82017,4.0268,1.2016,0,0,0,0,1.57719,4.52892,0.97149,7.16476e-05,7.16476e-05,7.16476e-05
