epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.113,2.78748,5.69704,1.92294,0,0,0,0,2.54996,5.39782,1.59707,2.78e-06,2.78e-06,2.78e-06
2,219.8,2.42142,5.69709,1.76367,0,0,0,0,2.51285,5.3956,1.60294,8.00974e-06,8.00974e-06,8.00974e-06
3,317.435,2.38476,5.5493,1.81379,0,0,0,0,2.51043,5.39427,1.57085,1.27991e-05,1.27991e-05,1.27991e-05
4,326.579,2.43107,5.7397,1.82684,0,0,0,0,2.50331,5.36751,1.54461,1.71482e-05,1.71482e-05,1.71482e-05
5,354.658,2.39865,5.60843,1.71382,0,0,0,0,2.40613,5.37499,1.50469,2.10568e-05,2.10568e-05,2.10568e-05
6,388.659,2.22953,5.56947,1.60514,0,0,0,0,2.36693,5.3571,1.47799,2.45252e-05,2.45252e-05,2.45252e-05
7,441.364,2.31383,5.5242,1.63274,0,0,0,0,2.35552,5.31598,1.44402,2.75531e-05,2.75531e-05,2.75531e-05
8,458.449,2.1912,5.42387,1.58064,0,0,0,0,2.29893,5.2964,1.41416,3.01408e-05,3.01408e-05,3.01408e-05
9,497.318,2.05593,5.36021,1.48151,0,0,0,0,2.28434,5.28454,1.41314,3.2288e-05,3.2288e-05,3.2288e-05
10,504.731,2.13878,5.24588,1.55079,0,0,0,0,2.22355,5.28327,1.34989,3.3995e-05,3.3995e-05,3.3995e-05
11,518.594,2.12789,5.2677,1.53726,0,0,0,0,2.15512,5.27421,1.31429,3.52615e-05,3.52615e-05,3.52615e-05
12,550.509,2.14976,5.21754,1.47912,0,0,0,0,2.09594,5.26722,1.29805,3.60877e-05,3.60877e-05,3.60877e-05
13,560.336,2.07472,5.15718,1.42756,0,0,0,0,2.0792,5.26203,1.29716,3.64736e-05,3.64736e-05,3.64736e-05
14,581.67,2.1328,5.0843,1.50912,0,0,0,0,2.05384,5.26813,1.2995,3.64191e-05,3.64191e-05,3.64191e-05
15,593.175,2.11734,5.07216,1.44686,0,0,0,0,2.03578,5.2555,1.29057,3.59243e-05,3.59243e-05,3.59243e-05
16,602.848,2.05854,5.41179,1.50194,0,0,0,0,2.00089,5.24023,1.27502,3.49891e-05,3.49891e-05,3.49891e-05
17,613.361,2.01106,5.32383,1.47559,0,0,0,0,1.9754,5.22006,1.2481,3.36135e-05,3.36135e-05,3.36135e-05
18,637.416,2.03153,5.30307,1.42557,0,0,0,0,1.96789,5.19162,1.22958,3.17976e-05,3.17976e-05,3.17976e-05
19,655.947,2.09,5.20566,1.49716,0,0,0,0,1.95456,5.17782,1.22196,2.95414e-05,2.95414e-05,2.95414e-05
20,674.419,1.93691,5.10626,1.35946,0,0,0,0,1.95314,5.15895,1.22448,2.68448e-05,2.68448e-05,2.68448e-05
21,742.106,1.93855,5.07174,1.40059,0,0,0,0,1.92716,5.15397,1.22028,2.37078e-05,2.37078e-05,2.37078e-05
22,788.132,2.02542,5.15241,1.39874,0,0,0,0,1.90799,5.14618,1.21403,2.01305e-05,2.01305e-05,2.01305e-05
23,800.796,1.94782,5.03982,1.41794,0,0,0,0,1.90519,5.13259,1.20152,1.61129e-05,1.61129e-05,1.61129e-05
24,817.808,2.02462,5.03232,1.33731,0,0,0,0,1.9076,5.121,1.20542,1.16549e-05,1.16549e-05,1.16549e-05
25,850.739,1.8894,4.90225,1.38175,0,0,0,0,1.90016,5.10834,1.20147,6.75651e-06,6.75651e-06,6.75651e-06
